場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260830,栗東,日,ディアーモルタル,,牝,3,宮本博,59.4,42.4,27.0,13.2,17.0,15.4,13.8,13.2,
栗東,20260902,栗東,水,ディアーモルタル,,牝,3,宮本博,51.8,37.9,25.0,12.6,13.9,12.9,12.4,12.6,
栗東,20260826,栗東,水,ティタノマキア,,牝,3,池添学,52.5,38.4,25.0,12.6,14.1,13.4,12.4,12.6,
栗東,20260902,栗東,水,ティタノマキア,,牝,3,池添学,58.0,42.4,27.3,13.1,15.6,15.1,14.2,13.1,
栗東,20260830,栗東,日,ティニア,,牡,6,池江泰寿,59.7,43.5,27.7,13.1,16.2,15.8,14.6,13.1,
栗東,20260902,栗東,水,ティニア,,牡,6,池江泰寿,52.8,38.0,24.4,12.1,14.8,13.6,12.3,12.1,
栗東,20260827,栗東,木,テーオーグレーザー,,牡,3,藤岡健一,55.2,40.1,25.8,13.0,15.1,14.3,12.8,13.0,
美浦,20260902,美浦,水,テリオスレイ,,牝,3,田島俊明,56.1,40.6,26.9,12.7,15.5,13.7,14.2,12.7,
栗東,20260830,栗東,日,ドウジャスティ,,牡,4,池江泰寿,57.9,41.0,25.0,12.4,16.9,16.0,12.6,12.4,
栗東,20260902,栗東,水,ドウジャスティ,,牡,4,池江泰寿,53.3,38.5,25.4,12.5,14.8,13.1,12.9,12.5,
美浦,20260826,美浦,水,トゥモローズウェイ,,牝,3,小手川準,54.8,40.4,26.2,12.8,14.4,14.2,13.4,12.8,
美浦,20260830,美浦,日,トーセントラム,,牡,6,佐藤吉勝,55.9,40.6,26.4,12.8,15.3,14.2,13.6,12.8,
美浦,20260902,美浦,水,トーセントラム,,牡,6,佐藤吉勝,53.7,39.5,25.7,12.7,14.2,13.8,13.0,12.7,
美浦,20260830,美浦,日,ドーンオブホープ,,牡,2,伊藤圭三,57.3,40.8,26.5,12.8,16.5,14.3,13.7,12.8,
栗東,20260826,栗東,水,ドットカモン,,牡,3,笹田和秀,55.2,39.5,25.3,12.5,15.7,14.2,12.8,12.5,
栗東,20260902,栗東,水,ドットカモン,,牡,3,笹田和秀,56.8,41.5,26.8,12.9,15.3,14.7,13.9,12.9,
栗東,20260826,栗東,水,ドメイン,,牡,3,松下武士,55.4,40.3,25.7,12.6,15.1,14.6,13.1,12.6,
栗東,20260902,栗東,水,ドメイン,,牡,3,松下武士,54.4,39.6,25.7,12.9,14.8,13.9,12.8,12.9,
美浦,20260903,美浦,木,ドリームコア,,牝,3,田中博康,54.7,40.0,25.8,12.5,14.7,14.2,13.3,12.5,
美浦,20260830,美浦,日,ドントゥザムーン,,牡,4,高木登,56.0,40.8,25.9,12.6,15.2,14.9,13.3,12.6,
美浦,20260827,美浦,木,ナイスプレーアスク,,牝,3,中舘英二,52.2,38.2,24.9,12.1,14.0,13.3,12.8,12.1,
美浦,20260902,美浦,水,ナイスプレーアスク,,牝,3,中舘英二,54.3,39.5,25.2,12.0,14.8,14.3,13.2,12.0,
栗東,20260826,栗東,水,ナムラロダン,,牡,3,長谷川浩,55.3,39.8,25.4,12.4,15.5,14.4,13.0,12.4,
栗東,20260902,栗東,水,ニクスルーナ,,牝,2,高柳大輔,57.7,42.0,26.2,12.6,15.7,15.8,13.6,12.6,
美浦,20260903,美浦,木,ノーウェアマン,,牡,3,浅利英明,53.7,38.4,24.8,12.2,15.3,13.6,12.6,12.2,
美浦,20260902,美浦,水,ノーブルミント,,牝,2,粕谷昌央,53.9,38.8,25.2,12.1,15.1,13.6,13.1,12.1,
美浦,20260826,美浦,水,ノワールブレイブ,,牝,2,清水英克,55.3,40.2,25.7,12.8,15.1,14.5,12.9,12.8,
栗東,20260902,栗東,水,バースデイフライト,,牝,3,新谷功一,52.4,37.6,24.4,12.3,14.8,13.2,12.1,12.3,
栗東,20260826,栗東,水,ハートノート,Ｔ,牝,2,高野友和,56.3,40.5,26.3,12.5,15.8,14.2,13.8,12.5,
栗東,20260830,栗東,日,ハートノート,Ｔ,牝,2,高野友和,57.4,41.0,26.0,12.4,16.4,15.0,13.6,12.4,
栗東,20260902,栗東,水,ハートノート,Ｔ,牝,2,高野友和,54.1,39.1,24.7,11.9,15.0,14.4,12.8,11.9,
美浦,20260902,美浦,水,ハーモニープルーフ,,牝,2,森一誠,53.8,38.9,25.5,12.8,14.9,13.4,12.7,12.8,
栗東,20260826,栗東,水,パスリヤージュ,,牝,3,荒川義之,53.9,38.8,25.2,12.7,15.1,13.6,12.5,12.7,
栗東,20260902,栗東,水,パスリヤージュ,,牝,3,荒川義之,52.7,39.1,25.9,12.7,13.6,13.2,13.2,12.7,
栗東,20260826,栗東,水,バルセシート,,牡,3,松下武士,56.5,40.2,26.0,12.6,16.3,14.2,13.4,12.6,
栗東,20260830,栗東,日,バルセシート,,牡,3,松下武士,58.1,41.7,26.0,12.0,16.4,15.7,14.0,12.0,
栗東,20260902,栗東,水,バルセシート,,牡,3,松下武士,53.2,38.9,25.4,12.3,14.3,13.5,13.1,12.3,
栗東,20260826,栗東,水,パンキー,,牡,3,茶木太樹,55.3,39.9,25.5,12.8,15.4,14.4,12.7,12.8,
栗東,20260830,栗東,日,ハンサム,,牡,2,清水久詞,52.5,38.3,25.0,12.5,14.2,13.3,12.5,12.5,
栗東,20260902,栗東,水,ハンサム,,牡,2,清水久詞,55.9,40.5,26.3,13.1,15.4,14.2,13.2,13.1,
栗東,20260902,栗東,水,ビーチェマーレ,,セ,3,友道康夫,56.5,41.4,26.6,12.7,15.1,14.8,13.9,12.7,
栗東,20260902,栗東,水,ピカラ,,牝,3,坂口智康,55.1,40.3,25.6,12.2,14.8,14.7,13.4,12.2,
美浦,20260902,美浦,水,ヒゲキリ,,牡,2,加藤士津,52.4,38.3,25.5,12.3,14.1,12.8,13.2,12.3,
美浦,20260830,美浦,日,ピコニ,,牡,5,牧光二,54.7,39.7,25.5,12.8,15.0,14.2,12.7,12.8,
美浦,20260902,美浦,水,ピコニ,,牡,5,牧光二,54.9,39.8,25.9,13.1,15.1,13.9,12.8,13.1,
栗東,20260826,栗東,水,ビッグシーザー,,牡,6,杉山晴紀,50.8,37.2,24.7,12.7,13.6,12.5,12.0,12.7,
栗東,20260830,栗東,日,ビッグシーザー,,牡,6,杉山晴紀,58.6,41.7,26.6,13.2,16.9,15.1,13.4,13.2,
栗東,20260902,栗東,水,ビッグシーザー,,牡,6,杉山晴紀,54.8,39.6,25.3,12.2,15.2,14.3,13.1,12.2,
栗東,20260827,栗東,木,ビバップ,,牡,5,清水久詞,55.1,39.3,24.7,12.2,15.8,14.6,12.5,12.2,
栗東,20260902,栗東,水,ビバップ,,牡,5,清水久詞,53.1,37.9,24.5,12.1,15.2,13.4,12.4,12.1,
