阪4,芝,1800,7, ダリアフレイバー,(栗),河嶋宏樹,河原田菜,16,,1,11,12,15,17,16,68,15,134,14,,ルヴァンスレーヴ
中12,ダ,1800,7, タリスマン,(美),金成貴史,伊藤工真,13,,2,6,11,14,31,10,64,15,119,11,,タリスマニック
中10,芝,2000,10, ダンツファイター,(美),蛯名正義,三浦皇成,4,,3,3,66,1,43,6,111,3,151,6,,ニューイヤーズデイ
中3,ダ,1200,7, チェストー,(美),高橋文雅,石橋脩,15,,2,6,20,11,13,15,31,15,43,15,,レッドファルクス
中8,芝,2500,3, チャームドウイング,(美),大竹正博,丸田恭介,9,,2,4,21,9,38,10,82,11,120,12,,ルーラーシップ
阪1,ダ,2970,7, ツーエムクロノス,(栗),本田優,中村将之,6,,2,2,28,5,34,3,98,2,165,2,,ノーブルミッション
中3,ダ,1200,5, ツクバヴァンガード,(美),奥平雅士,長浜鴻緒,4,,2,6,43,8,32,11,116,4,252,3,,リーチザクラウン
阪8,芝,1800,14, デリュージョン,(栗),奥村豊,城戸義政,12,,3,4,18,11,44,9,86,9,98,12,,レッドベルジュール
中10,芝,2000,1,$デルアヴァー,(栗),松永幹夫,石橋脩,2,,2,7,41,8,66,2,107,5,207,2,,Frankel
中7,ダ,1800,15, テンカラットレター,(美),本間忍,木幡初也,10,,2,5,33,8,33,14,76,12,140,12,,バゴ
阪4,芝,1800,2, テンダーワーズ,(栗),中尾秀正,ルメール,2,,2,4,39,5,68,1,98,10,165,8,,サートゥルナーリア
中10,芝,2000,6, トーアライデン,(栗),河嶋宏樹,大野拓弥,11,,3,3,42,7,27,9,117,2,132,8,,マインドユアビスケッツ
中6,ダ,1200,4, トパーズヘッド,(美),佐藤吉勝,菅原隆一,12,,1,10,18,10,17,12,38,10,106,12,,クリソベリル
中3,ダ,1200,11, トリエンナーレ,(美),森一誠,石神深道,14,,5,1,12,13,30,12,59,13,68,13,,マインドユアビスケッツ
中4,芝,2000,12, ナイトバード,(美),中舘英二,菊沢一樹,4,,4,1,32,7,62,1,97,7,207,5,,キズナ
中6,ダ,1200,11, ナイトパイロット,(美),相沢郁,横山琉人,2,,2,7,30,3,33,3,48,8,144,4,,フィレンツェファイア
阪3,ダ,1800,1, ナポリ,(栗),井上智史,田山旺佑,5,,2,4,28,5,55,3,69,5,156,6,,ウインブライト
中1,ダ,1800,6, ナムラダックス,(美),石栗龍彦,杉原誠人,8,,2,4,15,11,32,9,68,5,115,7,,チュウワウィザード
