場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260815,栗東,土,トップチェッカー,,牡,2,武英智,53.3,38.4,24.8,12.3,14.9,13.6,12.5,12.3,
栗東,20260816,栗東,日,ドミナント,,牝,2,福永祐一,55.8,40.1,25.8,12.9,15.7,14.3,12.9,12.9,
栗東,20260819,栗東,水,ドリームゴーズオン,,牡,3,高橋亮,54.3,39.5,25.8,13.0,14.8,13.7,12.8,13.0,
栗東,20260816,栗東,日,トリポリタニア,Ｃ,牡,4,上村洋行,55.7,40.6,26.5,13.2,15.1,14.1,13.3,13.2,
美浦,20260813,美浦,木,ドロワ,,牡,3,室井潔,55.7,40.6,26.5,12.7,15.1,14.1,13.8,12.7,
美浦,20260820,美浦,木,ドロワ,,牡,3,室井潔,54.3,39.5,25.7,12.6,14.8,13.8,13.1,12.6,
栗東,20260815,栗東,土,ナルキッソス,,牡,3,吉岡辰弥,50.9,36.9,24.2,12.4,14.0,12.7,11.8,12.4,
栗東,20260819,栗東,水,ニシノエビガタメ,,牡,3,吉村圭司,54.9,40.0,26.4,13.2,14.9,13.6,13.2,13.2,
美浦,20260813,美浦,木,ノーセット,,牡,2,高柳瑞樹,52.6,37.9,24.6,12.3,14.7,13.3,12.3,12.3,
栗東,20260812,栗東,水,バーケンティン,,牡,5,平田修,53.4,39.0,25.8,12.9,14.4,13.2,12.9,12.9,
栗東,20260812,栗東,水,ハギノサステナブル,,牡,6,高野友和,54.0,39.5,25.5,12.3,14.5,14.0,13.2,12.3,
栗東,20260816,栗東,日,ハギノサステナブル,,牡,6,高野友和,58.8,43.2,27.5,13.1,15.6,15.7,14.4,13.1,
栗東,20260819,栗東,水,ハギノサステナブル,,牡,6,高野友和,55.0,39.7,25.9,12.6,15.3,13.8,13.3,12.6,
栗東,20260819,栗東,水,パストザクラウン,,牝,2,高橋義忠,55.3,40.6,26.5,13.2,14.7,14.1,13.3,13.2,
美浦,20260815,美浦,土,ハヌル,,牝,5,岩戸孝樹,55.8,40.5,25.7,12.3,15.3,14.8,13.4,12.3,
栗東,20260819,栗東,水,ハピ,,牡,7,大久保龍,53.1,38.6,25.6,12.6,14.5,13.0,13.0,12.6,
栗東,20260816,栗東,日,パフ,,牡,5,橋口慎介,58.2,41.1,27.0,13.8,17.1,14.1,13.2,13.8,
栗東,20260819,栗東,水,パフ,,牡,5,橋口慎介,53.8,39.3,25.4,12.6,14.5,13.9,12.8,12.6,
栗東,20260816,栗東,日,バヤールロック,,牡,2,中村直也,55.5,39.9,25.8,13.1,15.6,14.1,12.7,13.1,
栗東,20260820,栗東,木,バヤールロック,,牡,2,中村直也,53.0,38.8,25.6,13.1,14.2,13.2,12.5,13.1,
美浦,20260812,美浦,水,バルジール,,牡,4,久保田貴,53.8,39.3,25.7,12.9,14.5,13.6,12.8,12.9,
美浦,20260819,美浦,水,バルジール,,牡,4,久保田貴,52.9,38.6,25.1,12.6,14.3,13.5,12.5,12.6,
美浦,20260813,美浦,木,パンパネイラ,,セ,3,高橋文雅,55.1,40.2,25.8,12.4,14.9,14.4,13.4,12.4,
栗東,20260813,栗東,木,ヒッグスボソン,,牡,3,高橋義忠,53.7,37.9,24.7,12.3,15.8,13.2,12.4,12.3,
栗東,20260819,栗東,水,ヒッグスボソン,,牡,3,高橋義忠,58.1,41.2,25.0,12.3,16.9,16.2,12.7,12.3,
栗東,20260819,栗東,水,ビップディラン,,牡,4,小椋研介,54.7,39.4,25.9,13.0,15.3,13.5,12.9,13.0,
栗東,20260812,栗東,水,ビバームス,,牝,2,高橋亮,52.7,38.6,25.1,12.6,14.1,13.5,12.5,12.6,
栗東,20260812,栗東,水,ファイアプレイス,,牝,3,小林真也,55.2,39.9,25.7,12.6,15.3,14.2,13.1,12.6,
栗東,20260819,栗東,水,ファイアプレイス,,牝,3,小林真也,56.5,40.5,26.3,13.1,16.0,14.2,13.2,13.1,
栗東,20260819,栗東,水,ファミーリエ,,牝,2,清水久詞,58.5,42.9,28.1,12.9,15.6,14.8,15.2,12.9,
美浦,20260816,美浦,日,フランシスガリバー,,牝,3,千葉直人,54.6,39.3,25.0,12.3,15.3,14.3,12.7,12.3,
栗東,20260812,栗東,水,プリンキピッサ,Ｔ,牝,2,高野友和,55.7,40.5,25.8,12.4,15.2,14.7,13.4,12.4,
栗東,20260816,栗東,日,プリンキピッサ,Ｔ,牝,2,高野友和,57.0,40.7,26.2,12.7,16.3,14.5,13.5,12.7,
栗東,20260819,栗東,水,プリンキピッサ,Ｔ,牝,2,高野友和,53.6,38.4,24.9,12.4,15.2,13.5,12.5,12.4,
